Type,SKU,Name,Published,Is featured?,Short description,Description,Regular price,Sale price,Categories,In stock?,Stock,Upsells,Cross-sells,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default
variable,WK-TEX-001,Handwoven Linen Tea Towel,1,0,"A linen tea towel offered in Clay Olive Oat and Indigo.","This fictional demo towel is a rectangular linen-look textile with a simple hem. Color is a global attribute shared with the throw so variation behavior can be tested.

Sample catalog copy only. Shake out and air dry. Not a claim about fiber content or a real mill.",,,Textiles,1,,,,,"Color","Clay, Olive, Oat, Indigo",1,1,Clay
variation,WK-TEX-001-CLAY,Handwoven Linen Tea Towel - Clay,1,0,,,24,,Textiles,1,8,,,WK-TEX-001,Color,Clay,1,1,
variation,WK-TEX-001-OLIV,Handwoven Linen Tea Towel - Olive,1,0,,,24,,Textiles,1,6,,,WK-TEX-001,Color,Olive,1,1,
variation,WK-TEX-001-OAT,Handwoven Linen Tea Towel - Oat,1,0,,,24,,Textiles,1,8,,,WK-TEX-001,Color,Oat,1,1,
variation,WK-TEX-001-INDG,Handwoven Linen Tea Towel - Indigo,1,0,,,24,,Textiles,1,5,,,WK-TEX-001,Color,Indigo,1,1,
simple,WK-TEX-002,Natural Table Runner,1,1,"A natural-toned table runner with a plain weave.","This fictional demo runner is long enough to span a small table. It is marked featured so the homepage Featured Collection can show a textile beside ceramics and home goods.

Sample catalog copy only. Shake out and air dry.",56,,Textiles,1,8,,,,,,,,
variable,WK-TEX-003,Soft Woven Throw,1,0,"A soft woven throw offered in Oat Moss and Clay.","This fictional demo throw is the highest-priced textile so variable pricing and a longer product name can be tested together.

Sample catalog copy only. Shake out and air dry. Color values overlap the tea towel on purpose.",,,Textiles,1,,,,,"Color","Oat, Moss, Clay",1,1,Oat
variation,WK-TEX-003-OAT,Soft Woven Throw - Oat,1,0,,,95,,Textiles,1,5,,,WK-TEX-003,Color,Oat,1,1,
variation,WK-TEX-003-MOSS,Soft Woven Throw - Moss,1,0,,,95,,Textiles,1,6,,,WK-TEX-003,Color,Moss,1,1,
variation,WK-TEX-003-CLAY,Soft Woven Throw - Clay,1,0,,,95,,Textiles,1,5,,,WK-TEX-003,Color,Clay,1,1,
simple,WK-TEX-004,Block-Printed Napkin Set,1,0,"A set of block-printed napkins in a simple folded stack.","This fictional demo set is four napkins with a repeating print. The longer hyphenated title helps test wrapping on product cards.

Sample catalog copy only. Shake out and air dry.",48,,Textiles,1,12,,,,,,,,
simple,WK-HOM-001,Woven Catchall Basket,1,0,"A small woven basket for keys and everyday objects.","This fictional demo basket has a low open form. It is grouped in Home so the six-category mix stays even.

Sample catalog copy only. Dust with a dry cloth.",48,,Home,1,8,,,,,,,,
simple,WK-HOM-002,Small Wooden Serving Tray,1,1,"A small wooden tray with raised edges for serving.","This fictional demo tray is marked featured so the Featured Collection can include a home object alongside ceramics candles and textiles.

Sample catalog copy only. Wipe with a damp cloth and dry promptly.",38,,Home,1,12,,,,,,,,
simple,WK-HOM-003,Ceramic Incense Holder,1,0,"A small ceramic incense holder with a single rest.","This fictional demo holder is a low ceramic form with a simple rest. It is one of the lowest-priced Home items.

Sample catalog copy only. Use on a heat-safe surface. Never leave burning incense unattended.",18,,Home,1,15,,,,,,,,
simple,WK-HOM-004,Handcrafted Wall Hanging,1,0,"A wall hanging with a mixed fiber and clay accent.","This fictional demo hanging is taller than most Home objects so a longer title and a higher price can sit on the same card grid.

Sample catalog copy only. Dust with a dry cloth. Hang from a secure hook.",72,,Home,1,5,,,,,,,,
